respondent_id,q1_year,q2_hostel,q3_department,q4_rides_per_week,q5_wait_minutes,q6_detour_freq,q7_payment_issue_freq,q8_late_incidents,q9_driver_courtesy,q10_night_availability,q11_overall_satisfaction,q12_issues_faced,q13_top3_ranked,q14_app_willingness,q15_1min_window_comfort,q16_wallet_comfort,q17_topup_amount,q18_fee_acceptance,q19_fare_preference,q20_share_dropoff,q21_dedicated_vs_whatsapp,q22_open_text
R001,2nd,Govind,CSE,8,4,3,2,2,4,2,2,long_wait;payment_issue;empty_return_seen;rude_driver;no_night_availability,payment_issue;empty_return_seen;no_night_availability,4,3,2,260,4,per_seat,3,4,
R002,3rd,Rajendra,Chemistry,12,2,1,3,4,3,2,2,long_wait,long_wait,3,4,3,740,3,per_seat,4,3,
R003,1st,Govind,CSE,11,4,5,4,2,4,3,3,long_wait;empty_return_seen;no_night_availability,long_wait;empty_return_seen;no_night_availability,5,4,3,240,4,per_seat,3,3,womens only rick at night would be really helpful
R004,3rd,Sarojini,EE,11,3,4,4,4,3,2,3,long_wait;route_detour;empty_return_seen,empty_return_seen;long_wait;route_detour,3,3,4,90,3,per_seat,4,3,
R005,4th,Cautley,HSS,9,3,3,3,3,4,1,4,rude_driver,rude_driver,4,3,2,260,3,fixed,3,4,
R006,PG,Rajendra,ECE,9,3,2,3,2,4,2,3,long_wait;no_night_availability,long_wait;no_night_availability,4,3,4,330,3,per_seat,4,1,
R007,2nd,Kasturba,Physics,10,5,3,2,4,3,2,3,route_detour;payment_issue,payment_issue;route_detour,3,4,3,100,2,fixed,3,4,ek saath 5 ricks aati hai phir ghante bhar kuch nahi
R008,PG,Kasturba,ECE,5,1,1,2,1,5,3,4,empty_return_seen,empty_return_seen,4,3,2,170,3,per_seat,3,3,book in advance for post class pickup we all leave together
R009,4th,Sarojini,CSE,13,2,2,2,0,4,2,3,long_wait;route_detour;payment_issue;empty_return_seen,long_wait;route_detour;payment_issue,3,3,2,100,3,per_seat,4,4,reduce 4 seat min in off peak even 2 passengers is fine
R010,PG,Sarojini,HSS,9,4,4,2,4,3,2,2,route_detour;payment_issue;empty_return_seen,empty_return_seen;payment_issue;route_detour,3,5,1,90,5,fixed,4,1,sunday late evening literally no rick available
R011,4th,Sarojini,CSE,7,3,3,2,2,2,1,2,long_wait;route_detour;payment_issue;empty_return_seen;no_night_availability,route_detour;payment_issue;empty_return_seen,4,5,1,460,2,fixed,2,3,
R012,4th,Rajendra,Chemistry,7,2,2,2,0,4,2,5,route_detour;empty_return_seen,empty_return_seen;route_detour,2,3,1,180,4,fixed,3,1,gps tracking would be gr8 so we know when the rick will come
R013,PG,Govind,ECE,12,6,4,3,5,2,1,3,empty_return_seen;no_night_availability,empty_return_seen;no_night_availability,3,3,3,560,4,per_seat,4,4,
R014,PG,Ravindra,ECE,10,5,5,4,3,4,1,3,long_wait;payment_issue;empty_return_seen;rude_driver;no_night_availability,payment_issue;no_night_availability;empty_return_seen,4,4,3,230,4,fixed,3,3,library se hostel late night fixed rick would b a lifesaver
R015,PG,Sarojini,ME,2,5,4,4,4,3,1,2,long_wait;route_detour;no_night_availability,route_detour;long_wait;no_night_availability,4,3,4,160,5,per_seat,5,4,drivers should not wait so long for 4th seat in off peak hrs
R016,3rd,Ravindra,CE,10,2,3,2,2,4,3,3,long_wait;route_detour;payment_issue,long_wait;route_detour;payment_issue,3,5,2,90,3,per_seat,3,4,drivers should not wait so long for 4th seat in off peak hrs
R017,3rd,Jawahar,CE,10,3,3,3,3,3,2,2,long_wait;route_detour,long_wait;route_detour,3,3,3,210,5,per_seat,3,4,
R018,1st,Ravindra,CSE,11,3,4,3,1,4,2,2,long_wait;payment_issue;rude_driver,rude_driver;long_wait;payment_issue,3,4,2,310,2,no_preference,3,3,
R019,1st,Rajendra,ECE,13,5,3,3,2,3,2,3,long_wait;rude_driver,rude_driver;long_wait,3,4,3,210,4,per_seat,3,4,sometimes i wait 15 mins n still no rick comes
R020,1st,Jawahar,CSE,14,4,3,3,3,3,2,3,long_wait;payment_issue;no_night_availability,long_wait;no_night_availability;payment_issue,4,4,3,510,3,fixed,3,3,drivers should not wait so long for 4th seat in off peak hrs
R021,PG,Rajendra,ECE,11,2,2,3,1,3,1,3,long_wait;payment_issue;empty_return_seen,long_wait;empty_return_seen;payment_issue,4,4,3,130,4,fixed,2,4,
R022,1st,Govind,ECE,12,2,2,2,4,3,3,3,empty_return_seen,empty_return_seen,3,3,2,230,3,per_seat,4,4,
R023,4th,Govind,Physics,18,5,2,2,3,2,2,3,rude_driver;no_night_availability,rude_driver;no_night_availability,4,3,2,370,4,fixed,4,5,need a proper booking system like ola uber but for campus
R024,4th,Rajendra,ME,11,4,3,2,2,3,2,3,route_detour,route_detour,4,2,3,350,2,fixed,4,3,reduce 4 seat min in off peak even 2 passengers is fine
R025,PG,Sarojini,Physics,9,4,2,2,2,4,3,3,payment_issue;rude_driver;no_night_availability,payment_issue;rude_driver;no_night_availability,4,4,2,250,4,fixed,4,4,
R026,4th,Jawahar,Physics,9,2,3,3,1,3,4,4,route_detour;rude_driver;no_night_availability,route_detour;no_night_availability;rude_driver,3,4,3,100,3,no_preference,3,5,
R027,2nd,Cautley,ECE,15,3,3,2,0,4,4,5,long_wait;payment_issue;empty_return_seen;no_night_availability,long_wait;empty_return_seen;no_night_availability,2,3,3,240,2,per_seat,3,3,
R028,3rd,Cautley,ME,12,2,2,2,3,4,2,2,route_detour;payment_issue;rude_driver;no_night_availability,no_night_availability;payment_issue;route_detour,4,2,2,420,3,fixed,3,3,
R029,2nd,Other,EE,12,2,2,1,0,3,4,3,long_wait;rude_driver,rude_driver;long_wait,2,3,1,230,3,fixed,3,3,the 4 seat wait is the worst part specially off peak
R030,2nd,Other,Chemistry,6,6,2,3,2,3,2,4,rude_driver,rude_driver,3,4,3,290,4,fixed,3,3,need a proper booking system like ola uber but for campus
R031,3rd,Rajendra,ECE,8,2,3,2,3,4,3,3,payment_issue;rude_driver;no_night_availability,payment_issue;no_night_availability;rude_driver,4,4,3,70,3,fixed,4,2,
R032,1st,Sarojini,CE,8,3,3,3,3,3,1,2,route_detour;empty_return_seen;rude_driver,empty_return_seen;rude_driver;route_detour,4,2,3,640,3,per_seat,5,2,group pickups post lab would save everyone time
R033,PG,Kasturba,ECE,16,4,3,3,5,2,1,2,long_wait;payment_issue;rude_driver,payment_issue;rude_driver;long_wait,4,4,3,180,3,per_seat,4,2,
R034,3rd,Govind,Physics,11,5,3,3,4,4,1,3,route_detour;payment_issue;empty_return_seen;no_night_availability,empty_return_seen;route_detour;no_night_availability,4,4,3,460,5,per_seat,5,5,An app would solve 80% of the problems we face daily.
R035,3rd,Sarojini,EE,7,2,1,2,2,4,2,4,none_of_these,,3,2,2,150,4,per_seat,2,2,
R036,PG,Kasturba,Maths,13,2,3,2,5,4,2,3,payment_issue,payment_issue,3,5,3,340,4,no_preference,4,2,
R037,2nd,Jawahar,Chemistry,8,2,2,2,0,4,2,4,payment_issue,payment_issue,4,4,2,130,4,per_seat,4,2,
